,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Id
467,Elias Lindholm,22,CAR,C,72,11,34,45,-2,16,4.1,8,2,1,0,21,9,4,151,7.3,1309,18:11,43,99,353,282,55.6,lindhel01
468,Hampus Lindholm,23,ANA,D,66,6,14,20,13,36,5.6,5,1,0,2,10,4,0,94,6.4,1482,22:27,94,98,2,0,100,lindhha01
469,Bryan Little,29,WPG,C,59,21,26,47,-7,18,5.3,15,6,0,3,20,6,0,119,17.6,1036,17:33,23,35,610,487,55.6,littlbr01
470,Matthew Lorito,26,DET,LW,2,0,1,1,0,0,0.1,0,0,0,0,1,0,0,6,0,29,14:26,0,0,0,0,,loritma01
471,Ben Lovejoy,32,NJD,D,82,1,6,7,-7,39,2.5,1,0,0,1,6,0,0,84,1.2,1703,20:46,149,82,0,0,,lovejbe01
472,Adam Lowry,23,WPG,C,82,15,14,29,1,52,2.4,10,5,0,1,9,4,1,122,12.3,1316,16:03,56,217,658,637,50.8,lowryad01
473,Milan Lucic,28,EDM,LW,82,23,27,50,-3,50,5.7,11,12,0,3,14,13,0,175,13.1,1407,17:10,20,202,4,3,57.1,lucicmi01
474,Roman Lyubimov,25,PHI,LW,47,4,2,6,-2,8,0.3,4,0,0,1,2,0,0,41,9.8,450,9:35,16,28,1,6,14.3,lyubiro01
475,Olli Maatta,22,PIT,D,55,1,6,7,17,12,2.3,1,0,0,0,6,0,0,66,1.5,994,18:04,102,72,0,0,,maattol01
476,Clarke MacArthur,31,OTT,LW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,5,0,54,13:29,1,4,0,1,0,macarcl01
477,Andrew MacDonald,30,PHI,D,73,2,16,18,-5,26,3.7,2,0,0,0,15,0,1,65,3.1,1468,20:06,151,39,0,0,,macdoan01
478,Derek MacKenzie,35,FLA,C,82,6,10,16,-7,50,0.6,4,0,2,1,7,0,3,91,6.6,1030,12:34,45,192,386,386,50,mackede01
479,Nathan MacKinnon,21,COL,C,82,16,37,53,-14,16,4.8,12,2,2,4,25,12,0,251,6.4,1635,19:57,30,56,768,752,50.5,mackina01
480,Denis Malgin,20,FLA,C,47,6,4,10,-5,8,0.8,4,2,0,1,4,0,0,67,9,528,11:14,15,34,67,117,36.4,malgide01
481,Evgeni Malkin,30,PIT,C,62,33,39,72,18,77,9.9,22,11,0,6,27,12,0,191,17.3,1154,18:37,25,40,365,481,43.1,malkiev01
482,Sean Malone,21,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12:12,1,0,5,3,62.5,malonse01
483,Brandon Manning,26,PHI,D,65,3,9,12,-12,83,2.1,2,0,1,1,9,0,0,84,3.6,1174,18:03,79,121,0,1,0,mannibr01
484,Josh Manson,25,ANA,D,82,5,12,17,14,82,5.3,4,0,1,1,11,0,1,88,5.7,1527,18:38,79,227,0,0,,mansojo01
485,Anthony Mantha,22,DET,RW,60,17,19,36,10,53,4.9,16,1,0,3,17,2,0,133,12.8,954,15:54,33,46,5,6,45.5,manthan01
486,Brad Marchand,28,BOS,LW,80,39,46,85,18,81,12.6,27,9,3,8,29,15,2,226,17.3,1555,19:26,35,51,13,23,36.1,marchbr03
487,Alexey Marchenko,25,TOT,D,41,1,7,8,7,12,2.3,1,0,0,0,6,0,1,36,2.8,695,16:57,59,22,0,0,,marchal01
487,Alexey Marchenko,25,DET,D,30,0,6,6,6,12,1.8,0,0,0,0,5,0,1,27,0,539,17:59,44,8,0,0,,marchal01
487,Alexey Marchenko,25,TOR,D,11,1,1,2,1,0,0.5,1,0,0,0,1,0,0,9,11.1,156,14:09,15,14,0,0,,marchal01
488,Jonathan Marchessault,26,FLA,C,75,30,21,51,-21,38,6.2,22,8,0,6,11,10,0,193,15.5,1268,16:55,17,105,122,148,45.2,audymjo01
489,Martin Marincin,24,TOR,D,25,1,6,7,3,16,1.4,1,0,0,0,5,0,1,22,4.5,451,18:03,27,25,0,0,,marinma01
490,Andrei Markov,38,MTL,D,62,6,30,36,18,16,7.5,5,1,0,1,18,11,1,98,6.1,1354,21:50,73,39,0,0,,markoan01
491,Patrick Marleau,37,SJS,LW,82,27,19,46,4,28,6,20,7,0,6,10,9,0,190,14.2,1407,17:09,32,82,115,99,53.7,marlepa01
492,Mitch Marner,19,TOR,C,77,19,42,61,0,38,6.6,15,4,0,5,25,17,0,176,10.8,1294,16:49,39,41,14,23,37.8,marnemi01
493,Pat Maroon,28,EDM,LW,81,27,15,42,13,95,6,24,3,0,5,12,3,0,178,15.2,1356,16:44,23,189,6,9,40,maroopa01
494,Matt Martin,27,TOR,LW,82,5,4,9,0,123,0.2,5,0,0,0,4,0,0,66,7.6,730,8:54,26,300,0,11,0,martima02
495,Paul Martin,35,SJS,D,81,4,22,26,10,20,5.8,4,0,0,1,22,0,0,57,7,1557,19:14,124,41,0,0,,martipa01
496,Alec Martinez,29,LAK,D,82,9,30,39,-17,24,6.8,6,2,1,3,17,13,0,144,6.3,1775,21:38,167,137,0,1,0,martial01
497,Jordan Martinook,24,ARI,LW,77,11,14,25,-8,40,1.7,9,1,1,2,11,1,2,109,10.1,1207,15:41,68,50,460,577,44.4,martijo01
498,Andreas Martinsen,26,TOT,LW,64,3,4,7,-14,32,-0.4,3,0,0,0,3,0,1,73,4.1,637,9:57,28,173,3,1,75,martian01
498,Andreas Martinsen,26,COL,LW,55,3,4,7,-10,32,-0.1,3,0,0,0,3,0,1,59,5.1,530,9:38,25,146,3,0,100,martian01
498,Andreas Martinsen,26,MTL,LW,9,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,14,0,107,11:54,3,27,0,1,0,martian01
499,Mike Matheson,22,FLA,D,81,7,10,17,-5,36,4.4,7,0,0,0,8,1,1,179,3.9,1705,21:03,118,69,1,0,100,mathemi01
500,Auston Matthews,19,TOR,C,82,40,29,69,2,14,9.7,32,8,0,8,16,13,0,279,14.3,1446,17:38,61,21,530,600,46.9,matthau01
501,Shawn Matthias,28,WPG,LW,45,8,4,12,0,13,1.1,7,0,1,1,4,0,0,51,15.7,610,13:34,19,47,5,11,31.3,matthsh01
502,Scott Mayfield,24,NYI,D,25,2,7,9,-1,35,1.3,2,0,0,0,7,0,0,39,5.1,354,14:08,36,37,0,0,,mayfisc01
503,Jamie McBain,28,ARI,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,3,0,50,16:40,4,0,0,0,,mcbaija02
504,Jake McCabe,23,BUF,D,76,3,17,20,-7,26,4,2,1,0,1,14,3,0,79,3.8,1574,20:42,114,73,0,0,,mccabja01
505,Jared McCann,20,FLA,C,29,1,6,7,-1,4,0.3,1,0,0,0,5,1,0,44,2.3,337,11:38,6,28,41,64,39,mccanja01
506,Michael McCarron,21,MTL,RW,31,1,4,5,-4,41,0,1,0,0,0,4,0,0,31,3.2,307,9:53,11,75,76,99,43.4,mccarmi01
507,Jay McClement,33,CAR,C,65,5,3,8,-8,18,0,4,0,1,1,3,0,0,37,13.5,740,11:23,40,49,253,272,48.2,mccleja01
508,Max McCormick,24,OTT,RW,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,7,0,47,6:46,1,13,15,9,62.5,mccorma01
509,Ian McCoshen,21,FLA,D,3,0,1,1,0,0,0.2,0,0,0,0,1,0,0,0,,40,13:15,2,3,0,0,,mccosia01
510,Connor McDavid,20,EDM,C,82,30,70,100,27,26,12.8,26,3,1,6,45,24,1,251,12,1733,21:08,29,34,348,458,43.2,mcdavco01
511,Ryan McDonagh,27,NYR,D,77,6,36,42,20,37,7.8,4,1,1,1,22,14,0,153,3.9,1876,24:21:00,160,80,0,0,,mcdonry01
512,Colin McDonald,32,PHI,C,3,1,0,1,1,0,0.2,1,0,0,0,0,0,0,5,20,27,9:01,0,9,0,1,0,mcdonco01
513,Evan McEneny,22,VAN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,15,15:08,0,0,0,0,,mceneev01
514,Brock McGinn,22,CAR,LW,57,7,9,16,-11,6,1.1,7,0,0,1,8,0,1,74,9.5,684,12:00,22,91,1,3,25,mcginbr01
515,Jamie McGinn,28,ARI,LW,72,9,8,17,-23,23,0.4,9,0,0,2,6,2,0,116,7.8,948,13:10,18,116,1,2,33.3,mcginja01
516,Dylan McIlrath,24,TOT,D,6,1,0,1,-2,14,0.1,1,0,0,0,0,0,0,3,33.3,57,9:31,4,15,0,0,,mcilrdy01
516,Dylan McIlrath,24,FLA,D,5,1,0,1,-2,10,0.1,1,0,0,0,0,0,0,3,33.3,48,9:34,4,13,0,0,,mcilrdy01
516,Dylan McIlrath,24,NYR,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,9,9:14,0,2,0,0,,mcilrdy01
517,Greg McKegg,24,TOT,C,46,3,4,7,-3,22,0.3,3,0,0,0,4,0,0,36,8.3,456,9:54,16,48,90,90,50,mckeggr01
517,Greg McKegg,24,FLA,C,31,3,3,6,-5,11,0.3,3,0,0,0,3,0,0,28,10.7,317,10:13,12,33,43,40,51.8,mckeggr01
517,Greg McKegg,24,TBL,C,15,0,1,1,2,11,0,0,0,0,0,1,0,0,8,0,139,9:16,4,15,47,50,48.5,mckeggr01
518,Curtis McKenzie,25,DAL,LW,53,6,10,16,5,72,1.6,6,0,0,3,10,0,0,66,9.1,575,10:51,31,103,3,3,50,mckencu01
519,Cody McLeod,32,TOT,LW,59,5,1,6,-3,145,0.4,5,0,0,0,1,0,0,30,16.7,423,7:10,14,150,0,1,0,mcleoco01
519,Cody McLeod,32,NSH,LW,31,4,1,5,-1,93,0.5,4,0,0,0,1,0,0,18,22.2,258,8:20,12,100,0,1,0,mcleoco01
519,Cody McLeod,32,COL,LW,28,1,0,1,-2,52,-0.1,1,0,0,0,0,0,0,12,8.3,165,5:53,2,50,0,0,,mcleoco01
520,Brayden McNabb,26,LAK,D,49,2,2,4,1,54,2,2,0,0,0,2,0,0,47,4.3,738,15:04,54,110,0,0,,mcnabbr01
521,Mark McNeill,23,DAL,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,14,13:49,1,0,0,2,0,mcneima01
522,Adam McQuaid,30,BOS,D,77,2,8,10,4,71,3.3,2,0,0,1,7,0,1,64,3.1,1405,18:15,144,157,0,0,,mcquaad01
523,Wade Megan,26,STL,C,3,1,0,1,1,0,0.2,1,0,0,0,0,0,0,6,16.7,26,8:48,0,2,13,14,48.1,meganwa01
524,Jaycob Megna,24,ANA,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,,15,15:20,0,0,0,0,,megnaja02
525,Jayson Megna,26,VAN,C,58,4,4,8,-4,6,0.1,4,0,0,0,3,1,0,72,5.6,721,12:26,23,87,2,14,12.5,megnaja01
526,Timo Meier,20,SJS,RW,34,3,3,6,1,10,0.4,3,0,0,1,3,0,0,85,3.5,424,12:28,5,64,1,4,20,meierti01
527,Julian Melchiori,25,WPG,D,18,0,2,2,0,8,0.3,0,0,0,0,2,0,0,15,0,331,18:22,31,30,0,0,,melchju01
528,Jonathon Merrill,24,NJD,D,51,1,5,6,-9,24,1.3,1,0,0,0,5,0,0,48,2.1,947,18:34,67,39,0,0,,merrijo01
529,Marc Methot,31,OTT,D,68,0,12,12,13,24,3.9,0,0,0,0,12,0,0,69,0,1348,19:49,77,164,0,0,,methoma01
530,Milan Michálek,32,TOR,LW,5,1,1,2,-2,2,0.1,1,0,0,0,1,0,0,6,16.7,71,14:16,9,7,0,1,0,michami01
531,Zbynek Michalek,34,ARI,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,3,0,53,17:40,5,7,0,0,,michazb01
532,Sonny Milano,20,CBJ,LW,4,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,2,0,47,11:41,2,3,0,0,,milanso01
533,Colin Miller,24,BOS,D,61,6,7,13,0,55,3.3,5,1,0,0,6,1,0,85,7.1,965,15:49,36,85,0,0,,milleco02
534,Drew Miller,32,DET,LW,55,5,2,7,-12,18,0,5,0,0,1,2,0,0,43,11.6,565,10:17,52,71,2,1,66.7,milledr01
535,J.T. Miller,23,NYR,LW,82,22,34,56,17,21,6.8,17,2,3,6,28,5,1,132,16.7,1342,16:22,56,101,157,200,44,millejt01
536,Kevan Miller,29,BOS,D,58,3,10,13,1,50,3.1,3,0,0,1,9,0,1,49,6.1,1032,17:48,76,121,0,0,,milleke03
537,Garrett Mitchell,25,WSH,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,8:48,0,2,0,1,0,mitchga01
538,John Mitchell,32,COL,C,65,3,4,7,-12,45,-0.6,3,0,0,1,4,0,0,57,5.3,816,12:33,45,88,298,240,55.4,mitchjo01
539,Torrey Mitchell,32,MTL,C,78,8,9,17,5,38,1.3,8,0,0,1,9,0,0,68,11.8,983,12:36,56,47,410,342,54.5,mitchto01
540,Zack Mitchell,24,MIN,RW,11,0,0,0,-1,0,-0.2,0,0,0,0,0,0,0,10,0,93,8:26,3,14,11,8,57.9,mitchza01
541,Griffen Molino,23,VAN,C,5,0,0,0,-2,0,-0.2,0,0,0,0,0,0,0,3,0,53,10:35,1,1,0,0,,molingr01
542,Sean Monahan,22,CGY,C,82,27,31,58,-1,20,6.9,18,8,1,4,22,9,0,199,13.6,1441,17:35,25,34,743,701,51.5,monahse01
543,Brandon Montour,22,ANA,D,27,2,4,6,11,14,2.3,2,0,0,0,3,1,0,50,4,469,17:23,24,21,0,0,,montobr01
544,Dominic Moore,36,BOS,C,82,11,14,25,2,44,2.6,8,0,3,1,13,0,1,96,11.5,1061,12:57,42,63,357,297,54.6,mooredo01
545,John Moore,26,NJD,D,63,12,10,22,-7,39,4.8,11,1,0,1,8,2,0,102,11.8,1196,18:59,61,68,0,0,,moorejo01
546,Samuel Morin,21,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,17:47,0,7,0,0,,morinsa01
547,Josh Morrissey,21,WPG,D,82,6,14,20,6,38,3.7,5,1,0,3,14,0,0,99,6.1,1598,19:29,139,145,0,0,,morrijo04
548,Joseph Morrow,24,BOS,D,17,0,1,1,-4,8,0.1,0,0,0,0,1,0,0,19,0,264,15:32,19,29,0,0,,morrojo02
549,Tyler Motte,21,CHI,LW,33,4,3,7,2,14,0.6,4,0,0,0,3,0,0,46,8.7,376,11:23,24,27,4,6,40,mottety01
550,Matt Moulson,33,BUF,LW,81,14,18,32,-4,10,3.5,3,11,0,2,11,7,0,134,10.4,940,11:36,18,37,1,3,25,moulsma01
551,Mirco Mueller,21,SJS,D,4,1,1,2,2,0,0.5,1,0,0,0,1,0,0,3,33.3,38,9:36,3,2,0,0,,muellmi01
552,Connor Murphy,23,ARI,D,77,2,15,17,-13,45,2.5,1,0,1,1,15,0,0,81,2.5,1477,19:11,119,201,0,0,,murphco02
553,Ryan Murphy,23,CAR,D,27,0,2,2,-11,8,-0.3,0,0,0,0,2,0,0,17,0,356,13:10,31,2,0,0,,murphry01
554,Ryan Murray,23,CBJ,D,60,2,9,11,3,24,2.4,2,0,0,0,7,1,1,52,3.8,1100,18:20,96,23,0,0,,murrary01
555,Jake Muzzin,27,LAK,D,82,9,19,28,-21,46,5.4,5,4,0,1,13,6,0,184,4.9,1828,22:18,122,162,0,0,,muzzija01
556,Tyler Myers,26,WPG,D,11,2,3,5,5,13,1.2,2,0,0,0,2,0,1,16,12.5,244,22:12,21,12,0,0,,myersty01
557,Jakub Nakladal,29,CAR,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,0,0,3,0,44,14:30,4,2,0,0,,naklaja01
558,Vladislav Namestnikov,24,TBL,C,74,10,18,28,-4,31,2.2,7,3,0,0,14,3,1,114,8.8,1094,14:47,31,72,209,271,43.5,namesvl01
559,Rick Nash,32,NYR,RW,67,23,15,38,9,26,5,16,6,1,3,12,3,0,195,11.8,1103,16:28,35,63,0,1,0,nashri01
560,Riley Nash,27,BOS,C,81,7,10,17,-1,14,1,6,0,1,2,8,0,2,125,5.6,1118,13:48,36,67,276,286,49.1,nashri02
561,James Neal,29,NSH,RW,70,23,18,41,-10,35,4.6,18,5,0,5,10,8,0,202,11.4,1239,17:42,18,84,3,3,50,nealja01
562,Chris Neil,37,OTT,RW,53,1,3,4,-11,63,-0.6,1,0,0,0,3,0,0,42,2.4,401,7:34,20,108,0,0,,neilch01
563,Brock Nelson,25,NYI,LW,81,20,25,45,-6,36,4.7,19,1,0,4,19,5,1,173,11.6,1268,15:39,48,50,346,445,43.7,nelsobr01
564,Casey Nelson,24,BUF,D,11,0,0,0,-3,4,-0.1,0,0,0,0,0,0,0,10,0,139,12:36,5,15,0,0,,nelsoca01
565,Patrik Nemeth,24,DAL,D,40,0,3,3,-4,14,0.3,0,0,0,0,3,0,0,46,0,631,15:47,47,45,0,0,,nemetpa01
566,Aaron Ness,26,WSH,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,26,12:50,2,2,0,0,,nessaa01
567,Nikita Nesterov,23,TOT,D,48,4,13,17,0,24,3.1,3,1,0,0,12,1,0,63,6.3,782,16:17,21,84,0,0,,nesteni01
567,Nikita Nesterov,23,TBL,D,35,3,9,12,-3,20,2,2,1,0,0,8,1,0,46,6.5,580,16:35,17,56,0,0,,nesteni01
567,Nikita Nesterov,23,MTL,D,13,1,4,5,3,4,1.1,1,0,0,0,4,0,0,17,5.9,201,15:29,4,28,0,0,,nesteni01
568,Andrej Nestrasil,25,CAR,C,19,1,4,5,-3,2,0.2,1,0,0,0,4,0,0,27,3.7,207,10:54,6,10,3,7,30,nestran01
569,Nino Niederreiter,24,MIN,RW,82,25,32,57,17,53,7.4,17,8,0,3,26,6,0,186,13.4,1236,15:04,20,120,0,1,0,niedeni01
570,Frans Nielsen,32,DET,C,79,17,24,41,-19,18,3.6,11,4,2,0,13,11,0,162,10.5,1355,17:09,54,64,653,561,53.8,nielsfr01
571,Matthew Nieto,24,TOT,LW,59,7,6,13,-12,8,0.4,7,0,0,1,5,0,1,85,8.2,881,14:55,34,40,2,4,33.3,nietoma01
571,Matthew Nieto,24,COL,LW,43,7,4,11,-9,4,0.6,7,0,0,1,3,0,1,61,11.5,685,15:56,26,18,2,2,50,nietoma01
571,Matthew Nieto,24,SJS,LW,16,0,2,2,-3,4,-0.2,0,0,0,0,2,0,0,24,0,195,12:13,8,22,0,2,0,nietoma01
572,Boo Nieves,23,NYR,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,12,11:44,1,0,3,7,30,nievecr01
573,Matt Niskanen,30,WSH,D,78,5,34,39,20,32,7.4,4,1,0,2,25,8,1,154,3.2,1730,22:11,93,147,0,0,,niskama01
574,Stefan Noesen,23,TOT,RW,44,8,2,10,6,24,1.6,8,0,0,0,2,0,0,63,12.7,490,11:08,10,50,26,41,38.8,noesest01
574,Stefan Noesen,23,NJD,RW,32,6,2,8,4,22,1.2,6,0,0,0,2,0,0,51,11.8,411,12:50,9,40,5,7,41.7,noesest01
574,Stefan Noesen,23,ANA,RW,12,2,0,2,2,2,0.4,2,0,0,0,0,0,0,12,16.7,79,6:33,1,10,21,34,38.2,noesest01
575,Nelson Nogier,20,WPG,D,10,0,0,0,-1,5,-0.1,0,0,0,0,0,0,0,8,0,117,11:43,5,12,0,0,,nogiene01
576,Jordan Nolan,27,LAK,C,46,4,4,8,-3,44,0.5,4,0,0,0,4,0,0,39,10.3,499,10:51,7,62,2,4,33.3,nolanjo01
577,Joakim Nordstrom,24,CAR,LW,82,7,5,12,-12,17,0,6,0,1,2,5,0,0,104,6.7,1043,12:43,41,148,9,20,31,nordsjo02
578,Tomas Nosek,24,DET,LW,11,1,0,1,-1,2,0,1,0,0,0,0,0,0,19,5.3,111,10:07,5,10,37,31,54.4,nosekto01
579,Ryan Nugent-Hopkins,23,EDM,C,82,18,25,43,-10,29,4,13,5,0,4,19,6,0,200,9,1451,17:42,35,47,556,712,43.8,nugenry01
580,Darnell Nurse,21,EDM,D,44,5,6,11,0,33,2.4,5,0,0,0,6,0,0,85,5.9,749,17:01,53,107,0,0,,nurseda01
581,Markus Nutivaara,22,CBJ,D,66,2,5,7,7,6,2.2,2,0,0,0,5,0,0,66,3,872,13:13,38,36,0,0,,nutivma01
582,Alexander Nylander,18,BUF,RW,4,0,1,1,-2,0,0,0,0,0,0,1,0,0,4,0,49,12:20,2,1,0,2,0,nylanal01
583,William Nylander,20,TOR,C,81,22,39,61,-3,32,6.8,13,9,0,2,22,17,0,205,10.7,1297,16:01,16,25,49,73,40.2,nylanwi01
584,Gustav Nyquist,27,DET,RW,76,12,36,48,0,18,4.7,10,2,0,2,29,7,0,165,7.3,1325,17:26,20,54,4,1,80,nyquigu01
585,Liam O'Brien,22,WSH,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,6:08,0,1,0,0,,obrieli01
586,Rob O'Gara,23,BOS,D,3,0,0,0,1,0,0.1,0,0,0,0,0,0,0,2,0,48,16:01,7,3,0,0,,ogararo01
587,Danny O'Regan,23,SJS,C,3,1,0,1,-2,0,0.1,0,1,0,0,0,0,0,5,20,35,11:33,1,1,14,17,45.2,oregada01
588,Cal O'Reilly,30,BUF,C,11,0,1,1,-6,0,-0.3,0,0,0,0,1,0,0,3,0,87,7:56,3,2,32,34,48.5,oreilca01
589,Ryan O'Reilly,25,BUF,C,72,20,35,55,-1,10,6,11,8,1,3,18,16,1,189,10.6,1545,21:28,45,21,1039,752,58,oreilry01
590,Johnny Oduya,35,TOT,D,52,2,7,9,-4,18,1.4,2,0,0,0,7,0,0,37,5.4,950,18:16,123,29,0,0,,oduyajo01
590,Johnny Oduya,35,DAL,D,37,1,6,7,-2,10,1.1,1,0,0,0,6,0,0,24,4.2,672,18:10,81,21,0,0,,oduyajo01
590,Johnny Oduya,35,CHI,D,15,1,1,2,-2,8,0.3,1,0,0,0,1,0,0,13,7.7,278,18:31,42,8,0,0,,oduyajo01
591,Jordan Oesterle,24,EDM,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,35,17:17,3,2,0,0,,oestejo01
592,Kyle Okposo,28,BUF,RW,65,19,26,45,-7,24,5,12,7,0,2,10,16,0,156,12.2,1233,18:58,25,53,54,45,54.5,okposky01
593,Jamie Oleksiak,24,DAL,D,41,5,2,7,-4,37,1.4,5,0,0,1,1,0,1,33,15.2,665,16:13,53,51,0,0,,oleksja01
594,Steven Oleksy,30,PIT,D,11,0,1,1,2,24,0.3,0,0,0,0,1,0,0,11,0,151,13:42,19,20,0,0,,oleksst01
595,Gustav Olofsson,22,MIN,D,13,0,3,3,-1,2,0.3,0,0,0,0,2,1,0,7,0,175,13:29,16,10,0,0,,olofsgu01
596,Dmitry Orlov,25,WSH,D,82,6,27,33,30,51,7.7,5,1,0,0,22,5,0,125,4.8,1602,19:32,94,122,0,0,,orlovdm01
597,Brooks Orpik,36,WSH,D,79,0,14,14,32,48,5,0,0,0,0,14,0,0,93,0,1405,17:47,132,181,0,0,,orpikbr01
598,T.J. Oshie,30,WSH,RW,68,33,23,56,28,36,8.7,25,7,1,4,15,6,2,143,23.1,1214,17:51,50,95,87,93,48.3,oshietj01
599,Steve Ott,34,TOT,C,53,3,4,7,-8,80,-0.1,3,0,0,0,4,0,0,45,6.7,570,10:46,23,144,153,125,55,ottst01
599,Steve Ott,34,DET,C,42,3,3,6,-6,63,0.1,3,0,0,0,3,0,0,33,9.1,439,10:28,17,101,102,74,58,ottst01
599,Steve Ott,34,MTL,C,11,0,1,1,-2,17,-0.2,0,0,0,0,1,0,0,12,0,131,11:56,6,43,51,51,50,ottst01
600,Xavier Ouellet,23,DET,D,66,3,9,12,2,51,3.2,3,0,0,0,9,0,0,89,3.4,1186,17:58,87,73,0,2,0,ouellxa01
601,Alex Ovechkin,31,WSH,LW,82,33,36,69,6,50,8.7,16,17,0,7,27,9,0,313,10.5,1506,18:22,29,216,0,1,0,ovechal01
602,Magnus Paajarvi,25,STL,LW,32,8,5,13,9,6,2.1,7,1,0,3,5,0,0,51,15.7,389,12:09,16,29,1,2,33.3,paajama01
603,Max Pacioretty,28,MTL,LW,81,35,32,67,15,38,9.3,26,8,1,7,26,5,1,268,13.1,1553,19:11,35,63,27,23,54,pacioma01
604,Jean-Gabriel Pageau,24,OTT,C,82,12,21,33,13,24,3.4,12,0,0,2,19,0,2,169,7.1,1323,16:08,79,161,558,460,54.8,pageaje01
605,Iiro Pakarinen,25,EDM,RW,14,2,2,4,2,2,0.5,2,0,0,1,2,0,0,15,13.3,125,8:55,6,30,0,1,0,pakarii01
606,Ondrej Palat,25,TBL,LW,75,17,35,52,8,39,5.6,12,5,0,3,25,10,0,162,10.5,1434,19:07,66,141,9,25,26.5,palaton01
607,Kyle Palmieri,25,NJD,RW,80,26,27,53,2,46,7.1,17,8,1,3,16,11,0,192,13.5,1388,17:21,36,124,12,17,41.4,palmiky01
608,Artemi Panarin,25,CHI,LW,82,31,43,74,18,21,9.4,22,9,0,5,35,8,0,211,14.7,1597,19:28,14,23,2,8,20,panarar01
609,Richard Panik,25,CHI,RW,82,22,22,44,14,58,5.6,18,4,0,5,17,5,0,155,14.2,1208,14:44,45,147,2,5,28.6,panikri01
610,Cedric Paquette,23,TBL,C,58,4,6,10,-6,80,0.2,4,0,0,0,6,0,0,68,5.9,668,11:31,46,144,200,234,46.1,paquece01
611,Colton Parayko,23,STL,D,81,4,31,35,7,32,6.7,0,4,0,2,24,6,1,188,2.1,1717,21:12,117,80,0,0,,parayco01
612,Adam Pardy,32,NSH,D,4,0,0,0,-1,6,-0.1,0,0,0,0,0,0,0,4,0,44,11:00,3,3,0,0,,pardyad01
613,P.A. Parenteau,33,TOT,RW,67,13,15,28,-18,35,2.5,9,4,0,2,11,4,0,123,10.6,985,14:42,9,60,6,14,30,parenpi01
613,P.A. Parenteau,33,NJD,RW,59,13,14,27,-16,35,2.6,9,4,0,2,10,4,0,109,11.9,884,14:59,8,51,6,13,31.6,parenpi01
613,P.A. Parenteau,33,NSH,RW,8,0,1,1,-2,0,-0.1,0,0,0,0,1,0,0,14,0,101,12:34,1,9,0,1,0,parenpi01
614,Zach Parise,32,MIN,LW,69,19,23,42,-3,30,4.3,13,6,0,4,17,6,0,194,9.8,1203,17:26,69,46,8,5,61.5,parisza01
615,David Pastrnak,20,BOS,RW,75,34,36,70,11,34,10.3,24,10,0,6,22,14,0,262,13,1349,17:59,32,72,2,1,66.7,pastrda01
616,Greg Pateryn,26,TOT,D,36,1,8,9,-1,10,1.5,1,0,0,0,8,0,0,42,2.4,555,15:25,66,69,0,0,,patergr01
616,Greg Pateryn,26,MTL,D,24,1,5,6,1,4,1.2,1,0,0,0,5,0,0,28,3.6,345,14:23,43,44,0,0,,patergr01
616,Greg Pateryn,26,DAL,D,12,0,3,3,-2,6,0.3,0,0,0,0,3,0,0,14,0,210,17:31,23,25,0,0,,patergr01
617,Nick Paul,21,OTT,LW,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,4,0,16,16:29,0,3,5,8,38.5,paulni01
618,Joe Pavelski,32,SJS,C,81,29,39,68,11,34,8.7,21,7,1,7,24,15,0,233,12.4,1549,19:07,73,130,448,407,52.4,paveljo01
619,Tanner Pearson,24,LAK,LW,80,24,20,44,5,13,6,20,3,1,5,14,5,1,187,12.8,1306,16:19,31,124,10,14,41.7,pearsta01
620,Matthew Peca,23,TBL,C,10,1,1,2,-3,2,0,1,0,0,0,1,0,0,9,11.1,114,11:27,2,9,32,40,44.4,pecama01
