Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
dunnvi02,216,Vince Dunn,22.0,STL,D,74.66666666666667,8.666666666666666,18.666666666666668,27.333333333333332,10.0,30.666666666666668,5.633333333333333,5.666666666666667,3.0,0.0,2.0,12.666666666666666,6.0,0.0,142.0,6.033333333333334
etemem01,216,Emerson Etem,23.5,ANA,LW,30.5,3.5,4.0,7.5,-5.5,6.5,0.35,3.5,0.0,0.0,0.5,4.0,0.0,0.0,50.0,7.0
ernead01,216,Adam Erne,22.5,DET,LW,42.5,3.75,4.25,8.0,-6.0,22.5,0.175,3.25,0.5,0.0,1.0,4.25,0.0,0.0,50.5,7.75
everbde01,217,Dennis Everberg,24.0,COL,RW,15.0,0.0,0.0,0.0,-5.0,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
fabbrro01,218,Robby Fabbri,22.0,TOT,C,54.0,11.5,14.5,26.0,-13.75,19.5,2.325,8.5,3.0,0.0,1.75,11.0,3.5,0.0,89.75,11.525
faksara01,219,Radek Faksa,24.0,DAL,C,70.2,12.0,13.6,25.6,3.0,43.0,2.38,10.6,0.8,0.6,1.6,12.4,1.0,0.2,108.0,10.86
falkju01,220,Justin Falk,28.5,OTT,D,33.0,0.25,3.25,3.5,-5.25,21.25,0.575,0.25,0.0,0.0,0.0,3.0,0.0,0.25,23.0,0.7
farnhbo01,221,Bobby Farnham,27.5,MTL,RW,28.0,4.0,1.0,5.0,-1.0,57.0,0.65,4.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,8.0
fastje01,223,Jesper Fast,26.0,NYR,RW,70.6,9.8,16.8,26.6,3.6,21.2,2.1,9.4,0.0,0.4,1.2,16.4,0.0,0.4,75.0,12.919999999999998
faulkju01,224,Justin Faulk,25.0,STL,D,73.2,11.4,19.8,31.2,-12.0,37.2,5.4799999999999995,6.2,5.2,0.0,2.6,12.4,7.2,0.2,196.8,5.72
faynema01,225,Mark Fayne,28.5,EDM,D,36.5,1.0,3.5,4.5,-2.5,9.0,1.05,1.0,0.0,0.0,0.0,3.0,0.0,0.5,32.5,1.65
ehnch01,225,Christoffer Ehn,22.5,DET,C,57.0,2.5,4.0,6.5,-13.0,4.0,-0.5,2.0,0.0,0.5,0.5,4.0,0.0,0.0,42.5,5.85
