Player,Pos,Id,label,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
Todd Marchant,C,marchto01,0,480,37.0,79.0,1.0,7.0,8.0,-18.0,26.0,-1.6,1.0,0.0,0.0,0.0,5.0,1.0,1.0,63.0,1.6
Adam Lowry,LW,lowryad01,1,481,21.0,80.0,11.0,12.0,23.0,1.0,46.0,2.0,10.0,0.0,1.0,2.0,9.0,3.0,0.0,104.0,10.6
Patrick Marleau,LW,marlepa01,1,482,33.0,75.2,27.2,31.8,59.0,-2.4,19.2,6.92,17.2,9.0,1.0,5.6,18.2,13.4,0.2,239.6,11.28
Matt Martin,LW,martima02,0,483,23.0,70.6,6.4,7.0,13.4,-9.4,107.0,0.42000000000000004,6.2,0.2,0.0,1.6,6.4,0.0,0.6,93.4,7.06
Maxime Macenauer,C,macenma01,0,483,23.0,29.0,1.0,3.0,4.0,-4.0,18.0,-0.1,1.0,0.0,0.0,1.0,3.0,0.0,0.0,14.0,7.1
Shawn Matthias,C,matthsh01,0,489,24.0,66.6,12.0,10.2,22.2,-3.2,24.6,2.2800000000000002,11.0,0.8,0.2,0.4,9.2,0.8,0.2,117.6,10.08
Nathan MacKinnon,C,mackina01,1,490,18.5,73.0,19.0,31.5,50.5,6.5,30.0,5.7,13.5,5.5,0.0,3.5,25.0,6.5,0.0,216.5,8.65
Greg Mauldin,C,mauldgr01,0,490,28.0,29.0,5.0,5.0,10.0,5.0,8.0,1.3,3.0,0.0,2.0,1.0,5.0,0.0,0.0,46.0,10.9
Ben Maxwell,C,maxwebe01,0,491,22.5,13.5,1.0,3.0,4.0,-1.5,5.5,0.30000000000000004,1.0,0.0,0.0,0.0,3.0,0.0,0.0,11.5,8.85
Brad Malone,C,malonbr01,0,491,23.5,29.75,2.75,3.25,6.0,-4.5,28.25,0.375,2.75,0.0,0.0,0.5,3.25,0.0,0.0,24.25,9.9
Tye McGinn,LW,mcginty01,0,492,23.0,29.0,3.0,2.6666666666666665,5.666666666666667,-0.3333333333333333,14.666666666666666,0.43333333333333335,3.0,0.0,0.0,0.3333333333333333,2.6666666666666665,0.0,0.0,36.333333333333336,12.466666666666667
Jamal Mayers,RW,mayerja01,0,492,37.0,59.333333333333336,3.0,7.333333333333333,10.333333333333334,0.3333333333333333,77.0,0.4666666666666666,3.0,0.0,0.0,0.3333333333333333,7.0,0.3333333333333333,0.0,47.333333333333336,4.466666666666667
John McCarthy,C,mccarjo01,0,497,25.333333333333332,27.666666666666668,1.0,1.0,2.0,-7.0,7.333333333333333,-0.4666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,34.666666666666664,2.3000000000000003
Pat Maroon,LW,maroopa01,0,498,24.5,37.0,5.5,11.0,16.5,1.25,48.75,1.625,5.0,0.5,0.0,1.0,8.75,2.25,0.0,58.75,7.2
